invoice_number,vendor,date,total
03,Ship To:,2025-08-05,596.94
03,Ship To:,2025-06-03,488.97
03,Ship To:,2025-06-03,488.97
03,Ship To:,2025-05-28,551.21
03,Ship To:,2025-05-20,354.94
03,Ship To:,2025-05-13,286.99
03,Ship To:,2025-07-29,751.41
03,Ship To:,2025-07-22,573.77
03,Ship To:,2025-07-15,519.89
03,Ship To:,2025-07-08,553.98
03,Ship To:,2025-06-24,738.17
03,Ship To:,2025-06-17,381.67
03,Ship To:,2025-06-10,688.51
03,Ship To:,2025-06-10,688.51
03,Ship To:,2025-08-12,432.62
20065629,,2025-05-13,0.0
20066901,,2025-05-22,0.0
20068140,,2025-05-30,0.0
20068978,,2025-06-05,0.0
20071084,,2025-06-20,0.0
20072265,,2025-06-27,0.0
20072898,,2025-07-03,0.0
20074433,,2025-07-15,0.0
20074433,,2025-07-15,0.0
20075310,,2025-07-21,0.0
20075310,,2025-07-21,0.0
20076301,,2025-07-28,0.0
20076301,,2025-07-28,0.0
20077622,,2025-08-06,0.0
20077622,,2025-08-06,0.0
20078834,,2025-08-14,0.0
20078834,,2025-08-14,0.0
