invoice_number,description,quantity,unit_price,total
03,DAYS 445630,7.0,8.0,8.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,1.000 CS JALAPENO SLICED  6 #10 45.000LB CS,33425.0,51.329,51.329
03,X 1.000 EA CURRANTS  5 LB 5.167LB EA,78825.0,29.203,29.203
03,3.000 CS MILK OAT  12 X 32 OZ 84.000LB CS,3210.0,39.948,39.948
03,1.000 CS SUGAR GRANULATED CANE  25 LB 26.000LB CS,109950.0,28.587,28.587
03,1.000 CS EGGS LIQUID  2 X 20 LB 40.500LB CS,191928.0,95.225,95.225
03,Total Weight,94.0,626.67,626.67
03,DAYS 442055,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS FLOUR A/P UNBLEACHED  50 LB 50.000LB CS,102400.0,21.582,21.582
03,1.000 CS FLOUR MEDIUM RYE  50 LB 50.000LB CS,202496.0,42.8,42.8
03,CS CORNMEAL YELLOW FINE***  25 LB 26.000LB CS,0.0,25.861,25.861
03,1.000 CS YEAST FRESH +  20 X 16 OZ 20.000LB CS,158605.0,54.62,54.62
03,1.000 CS SALT KOSHER COARSE  9 X 3 LB 28.800LB CS,109609.0,71.658,71.658
03,1.000 CS GLOVE NITRILE LARGE  10 x,160909.0,5.0,5.0
03,s1.000 29.774,77.0,0.5,0.5
03,DAYS 442055,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS FLOUR A/P UNBLEACHED  50 LB 50.000LB CS,102400.0,21.582,21.582
03,1.000 CS FLOUR MEDIUM RYE  50 LB 50.000LB CS,202496.0,42.8,42.8
03,CS CORNMEAL YELLOW FINE***  25 LB 26.000LB CS,0.0,25.861,25.861
03,1.000 CS YEAST FRESH +  20 X 16 OZ 20.000LB CS,158605.0,54.62,54.62
03,1.000 CS SALT KOSHER COARSE  9 X 3 LB 28.800LB CS,109609.0,71.658,71.658
03,1.000 CS GLOVE NITRILE LARGE  10 x,160909.0,5.0,5.0
03,s1.000 29.774,77.0,0.5,0.5
03,DAYS 441766,7.0,5.0,5.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS JALAPENO SLICED  6 #10 45.000LB CS,33425.0,51.329,51.329
03,1.000 CS SUGAR BROWN  25 LB 26.000LB CS,110150.0,26.778,26.778
03,2.000 CS MILK OAT  12 X 32 OZ 56.000LB CS,3210.0,39.948,39.948
03,2.000 CS EGGS LIQUID  2 X 20 LB 81.000LB CS,191928.0,100.35,100.35
03,Total Weight,21.0,608.0,608.0
03,DAYS 441300,7.0,5.0,5.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,1.000 CS MILK WHOLE GALLON RED CAP,8159.0,18.0,18.0
03,1.000 CS SUGAR GRANULATED CANE  25 LB 26.000LB CS,109950.0,29.147,29.147
03,X 2.000 EA HALF & HALF  QT 4.376LB EA,3244.0,2.637,2.637
03,1.000 CS GLOVE NITRILE MEDIUM  10 x,160908.0,5.0,5.0
03,Total Weight,80.0,479.38,479.38
03,DAYS 440912,7.0,5.0,5.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,X 1.000 EA CURRANTS  5 LB 5.167LB EA,78825.0,16.588,16.588
03,1.000 CS GLOVE NITRILE LARGE  10 x,160909.0,5.0,5.0
03,Total Weight,85.0,510.17,510.17
03,DAYS 445193,7.0,7.0,7.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,1.000 CS ONION MINCED  4 X 4.5 LB 22.000LB CS,154551.0,113.333,113.333
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,2.000 CS SALT KOSHER COARSE  9 X 3 LB 57.600LB CS,109609.0,75.076,75.076
03,x 100 ct 5.000LB CS 36.25 s1.000,10.0,158609.0,158609.0
03,CS YEAST INSTANT RED LBL SAF  20 X 20.000LB CS,0.0,130.797,130.797
03,Total Weight,89.0,630.6,630.6
03,DAYS 444831,7.0,7.0,7.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,1.000 BG MALT POWDER DIASTATIC+  50 LB 50.000LB BG,151011.0,116.848,116.848
03,1.000 CS JALAPENO SLICED  6 #10 45.000LB CS,33425.0,51.329,51.329
03,1.000 CS GLOVE NITRILE MEDIUM  10 x,160908.0,5.0,5.0
03,s1.000 29.780,78.0,1.0,1.0
